finding_id,access_point_id,access_point,zone,protocol,device_type,weakness_id,weakness,source,confidence,base_severity,risk_score,risk_rating,iso27001_failed,nist80053_failed,evidence
F-021-06,AP-021,Floor 3 office door,general,ibutton,Cyfral,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.1,Low,A.5.18,"IA-5, PE-2",Cyfral carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-022-01,AP-022,Meeting suite door 3,general,ir,IR device in secure area,W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,rf_probe,1.0,Medium,2.1,Low,A.8.5,,Identified as IR device in secure area (confidence 0.63). The device acted on a replayed capture of its own infrared command with no authentication.
F-022-02,AP-022,Meeting suite door 3,general,ir,IR device in secure area,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.1,Low,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-023-01,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-FIXED-CODE-RF,Fixed-code sub-GHz transmitter (no rolling code),rf_probe,1.0,High,4.6,High,"A.7.1, A.7.2, A.8.5","AC-3, PE-16, PE-3, SC-8",Identified as Fixed-code OOK remote (confidence 1.00). Counter step observed as 0: the remote transmits an identical code on every press.
F-023-02,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,4.6,High,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as Fixed-code OOK remote (confidence 1.00). No challenge and no authentication round observed in the exchange.
F-023-03,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,3.45,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-023-04,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.45,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-023-05,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-SINGLE-FACTOR-HIGH,Single-factor possession-only credential at a high-sensitivity boundary,inventory,1.0,High,4.6,High,"A.7.3, A.8.5","IA-2, PE-3(1)","A single possession factor is enforced at a restricted zone boundary; no PIN, biometric or supervised entry is required."
F-023-06,AP-023,Loading bay roller door 3,restricted,subghz,Fixed-code OOK remote,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,3.45,Medium,A.5.18,"IA-5, PE-2",Fixed-code OOK remote carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-024-01,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,1.0,High,3.381,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as Indala 26-bit (confidence 0.78). No challenge and no authentication round observed in the exchange.
F-024-02,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-NO-MUTUAL-AUTH,Reader is not authenticated to the credential,rf_probe,0.993,Medium,2.536,Medium,,,Identified as Indala 26-bit (confidence 0.78). The credential responded without requiring any proof from the reader.
F-024-03,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-SEQUENTIAL-ID,Sequential or low-entropy identifier allocation,rf_probe,0.997,High,3.381,Medium,"A.5.16, A.7.2","AC-2, PE-2, PE-3","Identified as Indala 26-bit (confidence 0.78). Identifiers sampled from the same issuing batch differ by a near-constant step, indicating sequential allocation."
F-024-04,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-SMALL-NAMESPACE,Identifier namespace too small for the credential population,rf_probe,0.997,Medium,2.536,Medium,,,Identified as Indala 26-bit (confidence 0.78). Decoded payload is 26 bits against a population of 2137 holders.
F-024-05,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-STATIC-ID,"Static, non-authenticating credential identifier",rf_probe,1.0,High,3.381,Medium,"A.7.2, A.8.5","AC-3, IA-3, PE-3",Identified as Indala 26-bit (confidence 0.78). 3 repeat reads returned 1 distinct payload(s); the credential presents a fixed identifier with no challenge.
F-024-06,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.381,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8","Reader-to-controller interface recorded as OSDP with Secure Channel not enabled, which leaves the link unauthenticated."
F-024-07,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-NO-TAMPER,Reader has no tamper detection or no reporting path for tamper events,inventory,1.0,Medium,2.536,Medium,A.7.4,PE-3(5),No supervised tamper switch on the reader assembly at this access point.
F-024-08,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.536,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-024-09,AP-024,Staff entrance 4,general,rfid_lf,Indala 26-bit,W-NO-REVOCATION,Credential cannot be expired or revoked at the credential layer,inventory,1.0,Medium,2.536,Medium,A.5.18,"IA-5, PE-2",Indala 26-bit carries no expiry field and nothing cryptographically revocable; revocation depends entirely on the controller allow list.
F-025-01,AP-025,Staff entrance 5,general,ir,IR device in secure area,W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,rf_probe,1.0,Medium,2.916,Medium,A.8.5,,Identified as IR device in secure area (confidence 0.52). The device acted on a replayed capture of its own infrared command with no authentication.
F-025-02,AP-025,Staff entrance 5,general,ir,IR device in secure area,W-NO-CRYPTO,No cryptographic authentication in the credential exchange,rf_probe,0.507,High,2.93,Medium,"A.7.2, A.8.5","IA-3, PE-3, SC-13, SC-8",Identified as IR device in secure area (confidence 0.52). No challenge and no authentication round observed in the exchange.
F-025-03,AP-025,Staff entrance 5,general,ir,IR device in secure area,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.916,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-026-01,AP-026,Comms room 1,secure,ir,IR device in secure area,W-IR-UNAUTH-CTRL,Security-relevant device controllable by unauthenticated infrared command,rf_probe,1.0,Medium,3.61,Medium,A.8.5,,Identified as IR device in secure area (confidence 0.86). The device acted on a replayed capture of its own infrared command with no authentication.
F-026-02,AP-026,Comms room 1,secure,ir,IR device in secure area,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,3.61,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-027-01,AP-027,Server room 6,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,3.64,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
F-027-02,AP-027,Server room 6,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-NO-EVENT-LOG,Access point produces no retained access event record,inventory,1.0,Medium,2.73,Medium,"A.7.4, A.8.15","AU-2, PE-6",Access point is not integrated with the access control platform; no retained event is produced for entries through it.
F-027-03,AP-027,Server room 6,secure,nfc_hf,MIFARE DESFire EV2/EV3,W-LEGACY-EOL,End-of-life credential or reader generation with no vendor security maintenance,inventory,1.0,Medium,2.73,Medium,"A.7.13, A.8.8",RA-5,MIFARE DESFire EV2/EV3 at this access point is recorded as an end-of-life generation with no remaining vendor security maintenance.
F-028-01,AP-028,Floor 4 office door,general,nfc_hf,MIFARE DESFire EV2/EV3,W-WIRE-CLEARTEXT,Credential data traverses reader-to-controller wiring unauthenticated,inventory,1.0,High,2.8,Medium,"A.7.12, A.7.2","PE-3, PE-4, SC-8",Reader-to-controller interface recorded as Wiegand: the decoded credential crosses the reader's wiring unauthenticated and in the clear.
